Kod,GlasNo,SiO2,B2O3,Al2O3,MgO,CaO,Na2O,K2O,E,density,Tg
2498,34459,71.01,0.45,0.31,0.0,13.01,12.13,3.08,71.8,2.51,540.0
2498,34460,71.77,11.09,0.25,0.0,0.0,9.76,6.29,82.5,2.52,538.0
3714,10815,75.01,0.0,0.0,0.0,10.69,14.3,0.0,77.5,2.46,548.0
3714,10817,69.93,5.08,0.0,0.0,10.71,14.29,0.0,80.4,2.51,563.0
3724,10860,52.5,24.3,0.0,0.0,0.0,23.2,0.0,80.4,2.56,529.0
3724,10861,72.9,21.3,0.0,0.0,0.0,5.8,0.0,60.6,2.24,500.0
3724,10862,72.5,14.3,0.0,0.0,0.0,13.2,0.0,79.8,2.47,587.0
3725,142471,65.0,4.5,12.5,0.0,0.0,18.0,0.0,74.9,2.44,563.0
3725,10870,60.0,0.0,10.0,0.0,0.0,30.0,0.0,72.3,2.5,492.0
3849,12354,82.0,0.0,0.0,0.0,8.0,10.0,0.0,70.5,2.4,566.0
3849,12355,78.5,0.0,0.0,0.0,8.0,13.5,0.0,69.1,2.42,554.0
3849,12356,76.0,0.0,0.0,0.0,8.0,16.0,0.0,68.0,2.45,544.0
3849,12357,73.0,0.0,0.0,0.0,8.0,19.0,0.0,67.1,2.44,530.0
3849,12358,70.5,0.0,0.0,0.0,8.0,21.5,0.0,66.4,2.5,528.0
3849,12359,70.5,0.0,0.0,0.0,18.5,11.0,0.0,75.2,2.54,600.0
3849,12360,80.0,0.0,0.0,0.0,10.0,10.0,0.0,71.7,2.42,571.0
3849,12361,70.5,0.0,0.0,0.0,25.0,4.5,0.0,79.1,2.56,645.0
3849,12362,76.5,0.0,0.0,0.0,13.5,10.0,0.0,73.9,2.47,587.0
3849,12363,65.0,0.0,0.0,0.0,25.0,10.0,0.0,79.7,2.62,624.0
3849,12364,72.5,0.0,0.0,0.0,17.5,10.0,0.0,75.1,2.52,606.0
3849,12365,70.5,0.0,0.0,0.0,12.0,17.5,0.0,70.3,2.52,553.0
3849,12366,70.5,0.0,0.0,0.0,19.5,10.0,0.0,76.2,2.54,611.0
3849,12367,70.5,0.0,0.0,0.0,22.0,7.5,0.0,77.8,2.56,628.0
3849,12368,78.5,0.0,0.0,0.0,11.5,10.0,0.0,72.2,2.44,586.0
3849,12369,75.0,0.0,0.0,0.0,15.0,10.0,0.0,74.3,2.49,597.0
3849,12370,62.5,0.0,0.0,0.0,27.5,10.0,0.0,80.6,2.66,625.0
3849,12371,74.7,0.0,0.0,0.0,15.8,9.5,0.0,75.3,2.49,607.0
3849,12372,70.2,0.0,0.0,0.0,18.6,11.2,0.0,75.8,2.54,604.0
3856,12428,32.65,46.21,0.0,0.0,0.0,20.68,0.0,67.6,2.4,500.0
3861,12497,58.82,29.41,0.0,0.0,0.0,11.76,0.0,62.5,2.3,526.0
3861,12500,56.34,28.17,0.0,0.0,0.0,15.49,0.0,75.3,2.43,553.0
3861,12501,55.56,27.78,0.0,0.0,0.0,16.67,0.0,73.7,2.45,558.0
